Date,Daily Mean PM2.5 Concentration,Units,Daily AQI Value
17-06-2022,3.6,ug/m3 LC,20
18-06-2022,4,ug/m3 LC,22
19-06-2022,4,ug/m3 LC,22
20-06-2022,6.1,ug/m3 LC,34
21-06-2022,4.9,ug/m3 LC,27
22-06-2022,8.4,ug/m3 LC,47
23-06-2022,7.9,ug/m3 LC,44
24-06-2022,8,ug/m3 LC,44
25-06-2022,9.1,ug/m3 LC,51
26-06-2022,8.4,ug/m3 LC,47
27-06-2022,6.9,ug/m3 LC,38
28-06-2022,5.7,ug/m3 LC,32
29-06-2022,7.4,ug/m3 LC,41
30-06-2022,7.3,ug/m3 LC,41
01-07-2022,6.1,ug/m3 LC,34
02-07-2022,3.4,ug/m3 LC,19
03-07-2022,2.8,ug/m3 LC,16
04-07-2022,4.5,ug/m3 LC,25
05-07-2022,9.3,ug/m3 LC,51
06-07-2022,2.7,ug/m3 LC,15
07-07-2022,2.1,ug/m3 LC,12
08-07-2022,3.2,ug/m3 LC,18
09-07-2022,4,ug/m3 LC,22
10-07-2022,5.5,ug/m3 LC,31
11-07-2022,5.7,ug/m3 LC,32
12-07-2022,5.1,ug/m3 LC,28
13-07-2022,3.5,ug/m3 LC,19
14-07-2022,7.7,ug/m3 LC,43
15-07-2022,7.6,ug/m3 LC,42
16-07-2022,5.4,ug/m3 LC,30
17-07-2022,8.5,ug/m3 LC,47
18-07-2022,10.5,ug/m3 LC,54
19-07-2022,8.4,ug/m3 LC,47
20-07-2022,6,ug/m3 LC,33
21-07-2022,4.5,ug/m3 LC,25
22-07-2022,7.2,ug/m3 LC,40
23-07-2022,6.2,ug/m3 LC,34
24-07-2022,6.8,ug/m3 LC,38
25-07-2022,4.4,ug/m3 LC,24
26-07-2022,5,ug/m3 LC,28
27-07-2022,2.5,ug/m3 LC,14
28-07-2022,3.1,ug/m3 LC,17
29-07-2022,3.6,ug/m3 LC,20
30-07-2022,3.6,ug/m3 LC,20
31-07-2022,2.5,ug/m3 LC,14
01-08-2022,4.8,ug/m3 LC,27
02-08-2022,6.3,ug/m3 LC,35
03-08-2022,4.1,ug/m3 LC,23
04-08-2022,9.5,ug/m3 LC,52
05-08-2022,5.7,ug/m3 LC,32
06-08-2022,4.5,ug/m3 LC,25
07-08-2022,4.8,ug/m3 LC,27
08-08-2022,3.9,ug/m3 LC,22
09-08-2022,4.7,ug/m3 LC,26
10-08-2022,4.1,ug/m3 LC,23
11-08-2022,3.9,ug/m3 LC,22
12-08-2022,5.9,ug/m3 LC,33
13-08-2022,7.1,ug/m3 LC,39
14-08-2022,10.2,ug/m3 LC,53
15-08-2022,15,ug/m3 LC,62
16-08-2022,14.3,ug/m3 LC,61
17-08-2022,11.4,ug/m3 LC,55
18-08-2022,10.5,ug/m3 LC,54
19-08-2022,7.1,ug/m3 LC,39
20-08-2022,7.3,ug/m3 LC,41
21-08-2022,6.1,ug/m3 LC,34
22-08-2022,2.4,ug/m3 LC,13
23-08-2022,3.6,ug/m3 LC,20
24-08-2022,5.6,ug/m3 LC,31
25-08-2022,4.7,ug/m3 LC,26
26-08-2022,4.8,ug/m3 LC,27
27-08-2022,7.9,ug/m3 LC,44
28-08-2022,11.6,ug/m3 LC,56
29-08-2022,11.2,ug/m3 LC,55
30-08-2022,14.8,ug/m3 LC,62
31-08-2022,9.9,ug/m3 LC,52
01-09-2022,7,ug/m3 LC,39
02-09-2022,12.8,ug/m3 LC,58
03-09-2022,5.7,ug/m3 LC,32
04-09-2022,5.4,ug/m3 LC,30
05-09-2022,8.4,ug/m3 LC,47
06-09-2022,9.3,ug/m3 LC,51
07-09-2022,7.6,ug/m3 LC,42
08-09-2022,6.5,ug/m3 LC,36
09-09-2022,11.5,ug/m3 LC,55
10-09-2022,14.4,ug/m3 LC,61
11-09-2022,13.6,ug/m3 LC,59
12-09-2022,11.8,ug/m3 LC,56
13-09-2022,3.4,ug/m3 LC,19
14-09-2022,8,ug/m3 LC,44
15-09-2022,9,ug/m3 LC,50
16-09-2022,7.8,ug/m3 LC,43
17-09-2022,3.8,ug/m3 LC,21
18-09-2022,2.3,ug/m3 LC,13
19-09-2022,3.3,ug/m3 LC,18
20-09-2022,3.6,ug/m3 LC,20
21-09-2022,3.7,ug/m3 LC,21
22-09-2022,4.9,ug/m3 LC,27
23-09-2022,4.9,ug/m3 LC,27
24-09-2022,5.5,ug/m3 LC,31
25-09-2022,8.9,ug/m3 LC,49
26-09-2022,8,ug/m3 LC,44
27-09-2022,7.6,ug/m3 LC,42
28-09-2022,4.2,ug/m3 LC,23
29-09-2022,4.8,ug/m3 LC,27
30-09-2022,5.3,ug/m3 LC,29
01-10-2022,5.9,ug/m3 LC,33
02-10-2022,5.3,ug/m3 LC,29
03-10-2022,5.3,ug/m3 LC,29
04-10-2022,6,ug/m3 LC,33
05-10-2022,7,ug/m3 LC,39
06-10-2022,8,ug/m3 LC,44
07-10-2022,9.9,ug/m3 LC,52
08-10-2022,7.1,ug/m3 LC,39
09-10-2022,5.8,ug/m3 LC,32
10-10-2022,6.9,ug/m3 LC,38
11-10-2022,9.8,ug/m3 LC,52
12-10-2022,12.3,ug/m3 LC,57
13-10-2022,6.1,ug/m3 LC,34
14-10-2022,7.5,ug/m3 LC,42
15-10-2022,10.3,ug/m3 LC,53
16-10-2022,9,ug/m3 LC,50
17-10-2022,7,ug/m3 LC,39
18-10-2022,9.5,ug/m3 LC,52
19-10-2022,7.6,ug/m3 LC,42
20-10-2022,7.4,ug/m3 LC,41
21-10-2022,12.9,ug/m3 LC,58
22-10-2022,6.1,ug/m3 LC,34
23-10-2022,3.1,ug/m3 LC,17
24-10-2022,3.1,ug/m3 LC,17
25-10-2022,4.8,ug/m3 LC,27
26-10-2022,5.2,ug/m3 LC,29
27-10-2022,5.2,ug/m3 LC,29
28-10-2022,5.5,ug/m3 LC,31
29-10-2022,8,ug/m3 LC,44
30-10-2022,8.9,ug/m3 LC,49
31-10-2022,11.2,ug/m3 LC,55
01-11-2022,2.5,ug/m3 LC,14
02-11-2022,1.5,ug/m3 LC,8
03-11-2022,3,ug/m3 LC,17
04-11-2022,4,ug/m3 LC,22
05-11-2022,3.6,ug/m3 LC,20
06-11-2022,4.2,ug/m3 LC,23
07-11-2022,2.1,ug/m3 LC,12
08-11-2022,1.3,ug/m3 LC,7
09-11-2022,3.5,ug/m3 LC,19
10-11-2022,5.2,ug/m3 LC,29
11-11-2022,7.4,ug/m3 LC,41
12-11-2022,6.2,ug/m3 LC,34
13-11-2022,4.5,ug/m3 LC,25
14-11-2022,7.7,ug/m3 LC,43
15-11-2022,9.5,ug/m3 LC,52
16-11-2022,4.2,ug/m3 LC,23
17-11-2022,12.8,ug/m3 LC,58
18-11-2022,8.9,ug/m3 LC,49
19-11-2022,10.2,ug/m3 LC,53
20-11-2022,17.3,ug/m3 LC,66
21-11-2022,15.2,ug/m3 LC,62
22-11-2022,11.9,ug/m3 LC,56
23-11-2022,12,ug/m3 LC,56
24-11-2022,22.2,ug/m3 LC,75
25-11-2022,25.9,ug/m3 LC,82
26-11-2022,15,ug/m3 LC,62
27-11-2022,10.5,ug/m3 LC,54
28-11-2022,6.3,ug/m3 LC,35
29-11-2022,4.2,ug/m3 LC,23
30-11-2022,5.6,ug/m3 LC,31
01-12-2022,3.2,ug/m3 LC,18
02-12-2022,7.4,ug/m3 LC,41
03-12-2022,8.8,ug/m3 LC,49
04-12-2022,5.2,ug/m3 LC,29
05-12-2022,5.2,ug/m3 LC,29
06-12-2022,4.6,ug/m3 LC,26
07-12-2022,7.5,ug/m3 LC,42
08-12-2022,6,ug/m3 LC,33
09-12-2022,5,ug/m3 LC,28
10-12-2022,1.9,ug/m3 LC,11
11-12-2022,2.3,ug/m3 LC,13
12-12-2022,3.1,ug/m3 LC,17
13-12-2022,6.2,ug/m3 LC,34
14-12-2022,11.1,ug/m3 LC,55
15-12-2022,10.4,ug/m3 LC,53
16-12-2022,19.5,ug/m3 LC,70
17-12-2022,20.1,ug/m3 LC,71
18-12-2022,25.2,ug/m3 LC,81
19-12-2022,18.8,ug/m3 LC,69
20-12-2022,21.9,ug/m3 LC,75
21-12-2022,16.6,ug/m3 LC,65
22-12-2022,18.8,ug/m3 LC,69
23-12-2022,24.6,ug/m3 LC,80
24-12-2022,19.6,ug/m3 LC,71
25-12-2022,14.5,ug/m3 LC,61
26-12-2022,10.6,ug/m3 LC,54
27-12-2022,3.6,ug/m3 LC,20
28-12-2022,7.2,ug/m3 LC,40
29-12-2022,4.8,ug/m3 LC,27
30-12-2022,0.6,ug/m3 LC,3
31-12-2022,1.5,ug/m3 LC,8
01-01-2022,13.2,ug/m3 LC,59
02-01-2022,8.2,ug/m3 LC,46
03-01-2022,3.8,ug/m3 LC,21
04-01-2022,3.1,ug/m3 LC,17
05-01-2022,4.7,ug/m3 LC,26
06-01-2022,8,ug/m3 LC,44
07-01-2022,5.1,ug/m3 LC,28
08-01-2022,6.4,ug/m3 LC,36
09-01-2022,8.7,ug/m3 LC,48
10-01-2022,10.9,ug/m3 LC,54
11-01-2022,8.5,ug/m3 LC,47
12-01-2022,18.6,ug/m3 LC,69
13-01-2022,23.9,ug/m3 LC,79
14-01-2022,10.7,ug/m3 LC,54
15-01-2022,11.7,ug/m3 LC,56
16-01-2022,16.5,ug/m3 LC,65
17-01-2022,18.8,ug/m3 LC,69
18-01-2022,11.3,ug/m3 LC,55
19-01-2022,12,ug/m3 LC,56
20-01-2022,14.7,ug/m3 LC,61
21-01-2022,9.3,ug/m3 LC,51
22-01-2022,4.5,ug/m3 LC,25
23-01-2022,18.2,ug/m3 LC,68
24-01-2022,14.8,ug/m3 LC,62
25-01-2022,12,ug/m3 LC,56
26-01-2022,15.4,ug/m3 LC,63
27-01-2022,10,ug/m3 LC,53
28-01-2022,13.5,ug/m3 LC,59
29-01-2022,18.3,ug/m3 LC,68
30-01-2022,12.5,ug/m3 LC,57
31-01-2022,10.3,ug/m3 LC,53
01-02-2022,4,ug/m3 LC,22
02-02-2022,2.4,ug/m3 LC,13
03-02-2022,6.6,ug/m3 LC,37
04-02-2022,20.3,ug/m3 LC,72
05-02-2022,20.5,ug/m3 LC,72
06-02-2022,11.7,ug/m3 LC,56
07-02-2022,16.5,ug/m3 LC,65
08-02-2022,15.3,ug/m3 LC,63
09-02-2022,7.2,ug/m3 LC,40
10-02-2022,5.6,ug/m3 LC,31
11-02-2022,10.5,ug/m3 LC,54
12-02-2022,17.5,ug/m3 LC,67
13-02-2022,16.9,ug/m3 LC,66
14-02-2022,7.6,ug/m3 LC,42
15-02-2022,4.4,ug/m3 LC,24
16-02-2022,6.1,ug/m3 LC,34
17-02-2022,4.8,ug/m3 LC,27
18-02-2022,11,ug/m3 LC,55
19-02-2022,14.4,ug/m3 LC,61
20-02-2022,9.2,ug/m3 LC,51
21-02-2022,4.5,ug/m3 LC,25
22-02-2022,3.5,ug/m3 LC,19
23-02-2022,5.3,ug/m3 LC,29
24-02-2022,6.5,ug/m3 LC,36
25-02-2022,9.5,ug/m3 LC,52
26-02-2022,10.3,ug/m3 LC,53
27-02-2022,14.2,ug/m3 LC,61
28-02-2022,10.2,ug/m3 LC,53
01-03-2022,7.6,ug/m3 LC,42
02-03-2022,6.4,ug/m3 LC,36
03-03-2022,7.5,ug/m3 LC,42
04-03-2022,8.1,ug/m3 LC,45
05-03-2022,4.8,ug/m3 LC,27
06-03-2022,9.2,ug/m3 LC,51
07-03-2022,7.6,ug/m3 LC,42
08-03-2022,6.3,ug/m3 LC,35
09-03-2022,10.5,ug/m3 LC,54
10-03-2022,3.8,ug/m3 LC,21
11-03-2022,5.3,ug/m3 LC,29
12-03-2022,5.4,ug/m3 LC,30
13-03-2022,8.4,ug/m3 LC,47
14-03-2022,8.7,ug/m3 LC,48
15-03-2022,4,ug/m3 LC,22
16-03-2022,8.3,ug/m3 LC,46
17-03-2022,8.5,ug/m3 LC,47
18-03-2022,7.2,ug/m3 LC,40
19-03-2022,5,ug/m3 LC,28
20-03-2022,6.7,ug/m3 LC,37
21-03-2022,9.7,ug/m3 LC,52
22-03-2022,7.4,ug/m3 LC,41
23-03-2022,7.1,ug/m3 LC,39
24-03-2022,5.7,ug/m3 LC,32
25-03-2022,4.2,ug/m3 LC,23
26-03-2022,3.6,ug/m3 LC,20
27-03-2022,3,ug/m3 LC,17
28-03-2022,4.8,ug/m3 LC,27
29-03-2022,6.2,ug/m3 LC,34
30-03-2022,7.3,ug/m3 LC,41
31-03-2022,10.1,ug/m3 LC,53
01-04-2022,11.6,ug/m3 LC,56
02-04-2022,12.5,ug/m3 LC,57
03-04-2022,12.7,ug/m3 LC,58
04-04-2022,8.1,ug/m3 LC,45
05-04-2022,7.4,ug/m3 LC,41
06-04-2022,8.1,ug/m3 LC,45
07-04-2022,10.8,ug/m3 LC,54
08-04-2022,16.1,ug/m3 LC,64
09-04-2022,15.4,ug/m3 LC,63
10-04-2022,8,ug/m3 LC,44
11-04-2022,5.3,ug/m3 LC,29
12-04-2022,6.7,ug/m3 LC,37
13-04-2022,5.3,ug/m3 LC,29
14-04-2022,3.7,ug/m3 LC,21
15-04-2022,4.5,ug/m3 LC,25
16-04-2022,5.5,ug/m3 LC,31
17-04-2022,5,ug/m3 LC,28
18-04-2022,5.6,ug/m3 LC,31
19-04-2022,4,ug/m3 LC,22
20-04-2022,3.5,ug/m3 LC,19
21-04-2022,5.5,ug/m3 LC,31
22-04-2022,5,ug/m3 LC,28
23-04-2022,6.3,ug/m3 LC,35
24-04-2022,7.7,ug/m3 LC,43
25-04-2022,9.4,ug/m3 LC,52
26-04-2022,12,ug/m3 LC,56
27-04-2022,7.5,ug/m3 LC,42
28-04-2022,7,ug/m3 LC,39
29-04-2022,7.4,ug/m3 LC,41
30-04-2022,6.7,ug/m3 LC,37
01-05-2022,7.6,ug/m3 LC,42
02-05-2022,8.1,ug/m3 LC,45
03-05-2022,7.8,ug/m3 LC,43
04-05-2022,10.5,ug/m3 LC,54
05-05-2022,7.1,ug/m3 LC,39
06-05-2022,4.7,ug/m3 LC,26
07-05-2022,5.9,ug/m3 LC,33
08-05-2022,5.8,ug/m3 LC,32
09-05-2022,5.3,ug/m3 LC,29
10-05-2022,3.7,ug/m3 LC,21
11-05-2022,4.3,ug/m3 LC,24
12-05-2022,4,ug/m3 LC,22
13-05-2022,4.3,ug/m3 LC,24
14-05-2022,4.8,ug/m3 LC,27
15-05-2022,5,ug/m3 LC,28
16-05-2022,5.4,ug/m3 LC,30
17-05-2022,11.2,ug/m3 LC,55
18-05-2022,12.3,ug/m3 LC,57
19-05-2022,14.1,ug/m3 LC,60
20-05-2022,9.8,ug/m3 LC,52
21-05-2022,15,ug/m3 LC,62
22-05-2022,15.5,ug/m3 LC,63
23-05-2022,12.5,ug/m3 LC,57
24-05-2022,12.2,ug/m3 LC,57
25-05-2022,10,ug/m3 LC,53
26-05-2022,4.7,ug/m3 LC,26
27-05-2022,4.8,ug/m3 LC,27
28-05-2022,2.7,ug/m3 LC,15
29-05-2022,6.1,ug/m3 LC,34
30-05-2022,9.1,ug/m3 LC,51
31-05-2022,9.7,ug/m3 LC,52
01-06-2022,10.6,ug/m3 LC,54
02-06-2022,5.9,ug/m3 LC,33
03-06-2022,2.9,ug/m3 LC,16
04-06-2022,3.7,ug/m3 LC,21
05-06-2022,2.7,ug/m3 LC,15
06-06-2022,6.5,ug/m3 LC,36
07-06-2022,6.3,ug/m3 LC,35
08-06-2022,4.6,ug/m3 LC,26
09-06-2022,9.4,ug/m3 LC,52
10-06-2022,6.8,ug/m3 LC,38
11-06-2022,2.7,ug/m3 LC,15
12-06-2022,2.5,ug/m3 LC,14
13-06-2022,6.3,ug/m3 LC,35
14-06-2022,12.1,ug/m3 LC,57
15-06-2022,13,ug/m3 LC,58
16-06-2022,5.6,ug/m3 LC,31
17-06-2022,3.3,ug/m3 LC,18
18-06-2022,4.8,ug/m3 LC,27
19-06-2022,7.7,ug/m3 LC,43
20-06-2022,9.6,ug/m3 LC,52
21-06-2022,8.5,ug/m3 LC,47
22-06-2022,12.2,ug/m3 LC,57
23-06-2022,8,ug/m3 LC,44
24-06-2022,11.3,ug/m3 LC,55
25-06-2022,13,ug/m3 LC,58
26-06-2022,6.8,ug/m3 LC,38
27-06-2022,7.1,ug/m3 LC,39
28-06-2022,8.5,ug/m3 LC,47
29-06-2022,8,ug/m3 LC,44
30-06-2022,6.9,ug/m3 LC,38
01-07-2022,5.7,ug/m3 LC,32
02-07-2022,4,ug/m3 LC,22
03-07-2022,3.2,ug/m3 LC,18
04-07-2022,25.3,ug/m3 LC,81
05-07-2022,6.8,ug/m3 LC,38
06-07-2022,1.7,ug/m3 LC,9
07-07-2022,2.2,ug/m3 LC,12
08-07-2022,3,ug/m3 LC,17
09-07-2022,4.7,ug/m3 LC,26
10-07-2022,6.5,ug/m3 LC,36
11-07-2022,9.9,ug/m3 LC,52
12-07-2022,3.1,ug/m3 LC,17
13-07-2022,2.9,ug/m3 LC,16
14-07-2022,9.5,ug/m3 LC,52
15-07-2022,7,ug/m3 LC,39
16-07-2022,6.5,ug/m3 LC,36
17-07-2022,11.3,ug/m3 LC,55
18-07-2022,13,ug/m3 LC,58
19-07-2022,6.2,ug/m3 LC,34
20-07-2022,4.1,ug/m3 LC,23
21-07-2022,4.4,ug/m3 LC,24
22-07-2022,7.9,ug/m3 LC,44
23-07-2022,5.2,ug/m3 LC,29
24-07-2022,7,ug/m3 LC,39
25-07-2022,3.7,ug/m3 LC,21
26-07-2022,3.2,ug/m3 LC,18
27-07-2022,2.5,ug/m3 LC,14
28-07-2022,2.5,ug/m3 LC,14
29-07-2022,2.2,ug/m3 LC,12
30-07-2022,1.8,ug/m3 LC,10
31-07-2022,1.3,ug/m3 LC,7
01-08-2022,5.3,ug/m3 LC,29
02-08-2022,6.6,ug/m3 LC,37
03-08-2022,5.2,ug/m3 LC,29
04-08-2022,8.5,ug/m3 LC,47
05-08-2022,4.2,ug/m3 LC,23
06-08-2022,3.6,ug/m3 LC,20
07-08-2022,4,ug/m3 LC,22
08-08-2022,4,ug/m3 LC,22
09-08-2022,3.7,ug/m3 LC,21
10-08-2022,4.4,ug/m3 LC,24
11-08-2022,3.5,ug/m3 LC,19
12-08-2022,6,ug/m3 LC,33
13-08-2022,7.3,ug/m3 LC,41
14-08-2022,10.5,ug/m3 LC,54
15-08-2022,13.5,ug/m3 LC,59
16-08-2022,14.7,ug/m3 LC,61
17-08-2022,6.2,ug/m3 LC,34
18-08-2022,4.6,ug/m3 LC,26
19-08-2022,6,ug/m3 LC,33
20-08-2022,9.8,ug/m3 LC,52
21-08-2022,5.7,ug/m3 LC,32
22-08-2022,3.8,ug/m3 LC,21
23-08-2022,4.2,ug/m3 LC,23
24-08-2022,6.1,ug/m3 LC,34
25-08-2022,3.6,ug/m3 LC,20
26-08-2022,3.9,ug/m3 LC,22
27-08-2022,5.9,ug/m3 LC,33
28-08-2022,12.5,ug/m3 LC,57
29-08-2022,11,ug/m3 LC,55
30-08-2022,13.7,ug/m3 LC,60
31-08-2022,11.8,ug/m3 LC,56
01-09-2022,10.1,ug/m3 LC,53
02-09-2022,12,ug/m3 LC,56
03-09-2022,8.4,ug/m3 LC,47
04-09-2022,8,ug/m3 LC,44
05-09-2022,10.2,ug/m3 LC,53
06-09-2022,12.1,ug/m3 LC,57
07-09-2022,16.2,ug/m3 LC,64
08-09-2022,18.3,ug/m3 LC,68
