"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile","Units"
"2000","118.052356020942","191","38","129","ug/m3"
"2001","140.544502617801","191","39","124","ug/m3"
"2002","114.403141361256","191","39","134","ug/m3"
"2003","129.905759162303","191","34","151","ug/m3"
"2004","103.595113438045","191","33","132","ug/m3"
"2005","92.3001745200698","191","34","112","ug/m3"
"2006","103.879581151832","191","36","121","ug/m3"
"2007","76.3036649214659","191","36","131","ug/m3"
"2008","73.4973821989528","191","34","116","ug/m3"
"2009","64.2547993019197","191","29","106","ug/m3"
"2010","66.6823734729493","191","31","100","ug/m3"
"2011","75.6614310645724","191","32","129","ug/m3"
"2012","76.5846422338569","191","30","140","ug/m3"
"2013","73.544502617801","191","27","136","ug/m3"
"2014","67.6596858638743","191","28","114","ug/m3"
"2015","66.4284467713787","191","30","115","ug/m3"
"2016","61.8359511343804","191","27","109","ug/m3"
"2017","76.9659685863874","191","28","134","ug/m3"
"2018","76.3534031413612","191","30","166","ug/m3"
"2019","57.1256544502617","191","27","91","ug/m3"
"2020","84.2530541012216","191","28","141","ug/m3"
"2021","73.8534031413612","191","28","128","ug/m3"
"2022","82.1788830715532","191","28","144","ug/m3"
"2023","75.2774869109947","191","29","132","ug/m3"
