"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2020,38394608,1,38470527
2020,38394609,1,38470528
2020,38394611,1,38470530
2020,38394613,1,38470532
2020,38394612,1,38470531
2020,38394614,7,38470533
2020,38394615,1,38470534
2020,38394616,1,38470535
2020,38394619,7,38470538
2020,38609943,1,38686188
2020,38609946,1,38686190
2020,38609954,1,38686198
2020,38609967,1,38690719
2020,38605988,1,38690721
2020,38609970,1,38690722
2020,38609989,1,38690739
2020,38609991,1,38690741
2020,38609992,1,38686223
2020,38610015,1,38686230
2020,38342749,1,38418336
2020,38679953,1,38765054
2020,38679965,1,38760939
2020,39194699,1,39418375
2020,39190918,1,39421496
2020,39190937,1,39418398
2020,39190946,7,39421523
2020,39190951,1,39421528
2020,39190956,1,39421531
2020,39190967,1,39418433
2020,39194786,1,39418471
2020,39194790,1,39418474
2020,39191036,1,39421608
2020,39194821,1,39418505
2020,39194822,1,39418506
2020,39191044,1,39418507
2020,39191049,1,39421618
2020,39194833,1,39418521
2020,39194850,1,39418541
2020,39194870,1,39418557
2020,39191083,7,39418578
2020,39194916,1,39418602
2020,39194924,1,39418608
2020,39191104,1,39418615
2020,39191122,1,39418630
2020,39191130,1,39418633
2020,39191131,22,39421701
2020,39191144,1,39421718
2020,39191172,1,39421748
2020,39195014,1,39421750
2020,39195022,1,39418697
2020,39191187,1,39421769
2020,39191188,1,39421770
2020,39195030,1,39418705
2020,39195034,1,39418710
2020,39195050,1,39418732
2020,39195054,1,39418736
2020,39191214,1,39421787
2020,39191213,1,39418747
2020,39195062,1,39421786
2020,39195078,1,39418764
2020,39191231,1,39421803
2020,39195083,1,39418768
2020,39191241,1,39421812
2020,39191248,1,39421816
2020,39195095,1,39421817
2020,39191251,1,39421822
2020,39195104,1,39418789
2020,39191252,1,39421824
2020,39195110,1,39418795
2020,39195118,1,39418804
2020,39195121,21,39421835
2020,39191268,1,39421839
2020,39195129,1,39418816
2020,39195139,1,39421850
2020,39195145,1,39418835
2020,39195149,1,39418840
2020,39191290,1,39418842
2020,39195153,3,39418846
2020,39191296,1,39421861
2020,39191298,1,39418849
2020,39191299,1,39421866
2020,39195175,1,39418865
2020,39195178,1,39418868
2020,39191318,1,39421886
2020,39195196,1,39418888
2020,39195203,1,39418895
2020,38679954,1,38760925
2020,38678338,1,38765065
2020,38678353,1,38765082
2020,38678386,1,38765124
2020,38680029,3,38765158
2020,38678415,1,38760986
2020,38678391,1,38765130
2020,38680010,1,38760969
2020,38605935,1,38686164
2020,38605941,1,38690675
2020,38605951,1,38686181
2020,38609947,1,38686192
2020,38605965,1,38686197
2020,38609957,1,38690709
2020,38609964,1,38690716
2020,38610022,1,38686236
2020,38606028,7,38690827
2020,38606032,1,38686265
2020,41357791,1,41750807
2020,41360795,1,41746441
2020,41357878,1,41746505
2020,41360850,1,41750886
2020,41357900,1,41746525
2020,41357917,1,41746538
2020,41357916,1,41746537
2020,41357931,1,41750932
2020,41357937,1,41746548
2020,41357981,1,41750988
2020,39989591,3,40296614
2020,39986047,1,40300343
2020,39989590,3,40296613
2020,39986111,1,40300404
2020,39989631,1,40300427
2020,39986149,1,40300442
2020,38170309,1,38237102
2020,38170310,1,38237103
2020,38170313,1,38237106
2020,38170315,1,38237108
2020,38170314,1,38237107
2020,38170316,1,38237109
2020,38170317,1,38237110
2020,38195126,1,38255553
2020,38337018,1,38413485
2020,38337023,1,38413489
2020,38337024,1,38413490
2020,38337028,1,38413494
2020,38337029,1,38413495
2020,38337030,1,38413496
2020,38337031,1,38413497
