"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39389919,127366357,1,09-FEB-20,1,"C",16,5,52,"M",1,1,"R","","",52,0
2020,39385526,127366375,1,12-FEB-20,1,"C",23,5,32,"M",1,1,"R","","",32,0
2020,39195857,126761762,1,01-MAR-20,2,"N",6,5,27,"M",1,2,"R","","",27,0
2020,39195859,126766637,1,01-MAR-20,2,"N",23,5,40,"F",3,2,"R","","",40,0
2020,39195874,126766715,1,02-MAR-20,1,"N",27,5,29,"M",1,1,"R","","",29,0
2020,39192156,126766730,1,02-MAR-20,1,"N",27,5,39,"M",2,2,"R","","",39,0
2020,39192181,126766839,1,04-MAR-20,2,"N",23,5,43,"F",1,2,"R","","",43,0
2020,39195915,126761963,1,04-MAR-20,2,"N",23,5,62,"M",1,2,"R","","",62,0
2020,39195971,126767070,1,07-MAR-20,2,"N",51,5,34,"F",3,2,"R","","",34,0
2020,39195987,126762220,1,08-MAR-20,1,"N",51,5,36,"M",1,1,"R","","",36,0
2020,39196066,126762501,1,14-MAR-20,1,"N",49,5,44,"M",1,1,"R","","",44,0
2020,39196092,126762633,1,17-MAR-20,2,"N",23,5,27,"F",1,1,"R","","",27,0
2020,39196096,126762654,1,17-MAR-20,2,"N",5,5,39,"M",1,1,"R","","",39,0
2020,39196103,126762693,1,18-MAR-20,1,"N",51,5,33,"M",1,1,"R","","",33,0
2020,39196127,126762775,1,19-MAR-20,1,"N",6,5,29,"F",2,2,"R","","",29,0
2020,39192494,126762840,1,21-MAR-20,1,"N",6,5,34,"M",1,1,"N","","",34,0
2020,39192529,126762924,1,23-MAR-20,1,"N",56,5,32,"M",1,2,"R","","",32,0
2020,39192543,126762965,1,23-MAR-20,2,"N",5,5,23,"F",3,2,"R","","",23,0
2020,39196199,126768171,1,24-MAR-20,2,"N",5,5,27,"M",3,2,"N","","",27,0
2020,39192567,126768238,1,25-MAR-20,2,"N",51,5,41,"M",1,1,"R","","",41,0
2020,39192608,126763112,1,27-MAR-20,1,"N",6,5,33,"M",1,1,"R","","",33,0
2020,39192631,126763161,1,27-MAR-20,2,"N",5,5,37,"M",3,2,"R","","",37,0
2020,39196277,126768551,1,29-MAR-20,1,"N",6,5,15,"M",1,1,"R","R","",15,0
2020,39196281,126768570,1,29-MAR-20,2,"N",23,5,31,"M",1,2,"R","","",31,0
2020,39196282,126768570,2,29-MAR-20,2,"N",23,5,43,"F",1,1,"R","","",43,0
2020,39192667,126763236,1,29-MAR-20,1,"N",6,5,69,"M",1,3,"R","","",69,0
2020,39192674,126763251,1,30-MAR-20,2,"N",51,5,26,"M",3,2,"R","","",26,0
2020,39192687,126763289,1,30-MAR-20,1,"N",51,5,31,"M",3,2,"R","","",31,0
2020,38983657,126212165,1,02-JUN-20,2,"N",23,5,23,"F",1,1,"","","",23,0
