data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2021,41314386,,51
2021,42677486,,51
2021,42677487,,51
2021,42963620,,51
2021,43256140,,51
2021,43256141,,51
2021,43256148,,51
2021,43256149,,51
2021,43256156,,4
2021,43256157,,51
2021,43852586,,51
2021,44565748,,2
2021,44565739,,51
2021,44565740,,51
2021,44565747,,51
2021,44837079,,51
2021,42141304,,51
2021,42141305,,51
2021,41477874,,51
2021,41486481,,51
2021,42211371,,51
2021,41486482,,51
2021,41477873,,51
2021,41477875,,51
2021,41486484,,51
2021,41486487,,51
2021,41486488,,51
2021,42215261,,51
2021,41486498,,51
2021,41477882,,51
2021,41477884,,51
2021,41486499,,51
2021,41477883,,51
2021,41477888,,51
2021,41486501,,51
2021,41477885,,51
2021,41477886,,51
2021,42215265,,51
2021,41477887,,51
2021,41477890,,51
2021,41477889,,51
2021,41486502,,52
2021,41486503,,51
2021,42215260,,51
2021,41477891,,51
2021,41486505,,51
2021,41486506,,51
2021,41486504,,51
2021,42215262,,1
2021,41486507,,51
2021,41486508,,3
2021,42215264,,51
2021,42215266,,51
2021,42211375,,51
2021,42211376,,51
2021,42215267,,51
2021,42215268,,52
2021,42211370,,51
2021,41486509,,51
2021,42215263,,51
2021,41486510,,51
2021,42096681,,51
2021,42096683,,51
2021,42096687,,51
2021,42211374,,51
2021,42096663,,51
2021,42096664,,51
2021,42096665,,51
2021,42096661,,51
2021,42096705,,51
2021,42096706,,51
2021,42096707,,51
2021,42096669,,51
2021,42096678,,51
2021,42096674,,51
2021,42096675,,51
2021,42096682,,1
2021,42096676,,51
2021,42096688,,3
2021,42096689,,51
2021,42096695,,51
2021,42096697,,51
2021,42096686,,51
2021,42096692,,51
2021,42211378,,51
2021,42211379,,51
2021,42096691,,52
2021,42096694,,51
2021,42096703,,51
2021,42211377,,51
2021,42096699,,51
2021,42096702,,51
2021,42096696,,51
2021,42096700,,53
2021,42096708,,51
2021,42096709,,51
2021,42096711,,51
2021,42096712,,51
2021,42096701,,51
2021,42096704,,51
2021,42211382,,51
2021,42096710,,51
2021,42096713,,2
2021,42558615,,51
2021,42211386,,51
2021,42211383,,51
2021,42211384,,51
2021,42211387,,51
2021,42211388,,51
2021,42211385,,51
2021,42211392,,51
2021,42211389,,51
2021,42211390,,51
2021,42211391,,51
2021,42211393,,51
2021,42558625,,51
2021,42211394,,52
2021,42211397,,51
2021,42211398,,51
2021,42211403,,51
2021,42211405,,51
2021,42211395,,53
2021,42211399,,51
2021,42211402,,51
2021,42211396,,51
2021,42211404,,51
2021,42211407,,51
2021,42211400,,51
2021,42211401,,51
2021,42558622,,51
2021,42211415,,51
2021,42211429,,51
2021,42211430,,51
2021,42211406,,51
2021,42211410,,51
2021,42211417,,51
2021,42211419,,51
2021,42211413,,51
2021,42211428,,51
2021,42211441,,51
2021,42558626,,51
2021,42211450,,51
2021,42211408,,51
2021,42211409,,51
2021,42211411,,51
2021,42211418,,51
2021,42558627,,51
2021,42211426,,51
2021,42211432,,51
2021,42211443,,51
2021,42211414,,51
2021,42211420,,51
2021,42211421,,51
2021,42211424,,51
2021,42211425,,51
2021,42211416,,51
2021,42211422,,51
2021,43005524,,51
2021,42211423,,51
2021,42211427,,51
2021,42211446,,51
2021,42211448,,51
2021,42211431,,51
2021,42211435,,51
2021,42211442,,51
2021,42211444,,51
2021,42211449,,51
2021,42211445,,51
2021,42211447,,51
2021,42558620,,51
2021,42211433,,51
2021,42211436,,51
2021,42211437,,51
2021,42211438,,51
2021,42211439,,51
2021,42211440,,51
2021,42211434,,51
2021,42558629,,52
2021,42558638,,51
2021,42558640,,51
2021,42558633,,51
2021,42558636,,51
2021,43005529,,51
2021,42558643,,51
2021,42558634,,51
2021,42558649,,51
2021,42558651,,51
2021,43005530,,51
2021,43005533,,51
2021,42558675,,51
2021,42558678,,51
2021,42558617,,51
2021,42558618,,51
2021,42558619,,51
2021,43005531,,51
2021,42558621,,51
2021,42558631,,51
2021,42558624,,52
2021,42558628,,51
2021,42558632,,51
2021,42558635,,51
2021,42558630,,52
2021,42558642,,51
2021,42558637,,51
2021,42558647,,51
2021,42558654,,51
2021,42558639,,51
2021,42558641,,51
2021,42558648,,51
2021,42558655,,51
2021,42558644,,51
2021,42558646,,51
2021,42558650,,51
2021,42558657,,51
2021,42558665,,51
2021,42558645,,51
2021,42558652,,51
2021,42558658,,51
2021,42558661,,51
2021,42558663,,51
2021,43005534,,51
