data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2021,41314386,133808760,1,2021-01-01,2,N,13B,39,36,M,30,20,R,,,36,00
2021,41319085,133802571,1,2021-01-01,3,C,13B,67,64,F,10,40,R,,,64,00
2021,41314395,133802562,1,2021-01-01,2,C,290,40,37,M,10,10,R,,,37,00
2021,41314394,133808797,1,2021-01-01,2,N,13B,48,45,F,10,20,R,,,45,00
2021,41314379,133808731,1,2021-01-02,3,N,13B,19,16,M,10,10,R,R,,16,00
2021,41314393,133808792,1,2021-01-02,2,N,13B,54,51,M,10,10,R,,,51,00
2021,41314396,133802563,2,2021-01-02,3,N,35A,28,25,M,10,40,R,,,25,00
2021,41319082,133802563,1,2021-01-02,3,N,90Z,37,34,M,10,10,R,,,34,00
2021,41319024,133802403,1,2021-01-03,3,N,280,52,49,F,10,10,R,,,49,00
2021,41314391,133808781,1,2021-01-04,3,N,35A,25,22,M,10,20,R,,,22,00
2021,41314392,133808787,1,2021-01-04,3,N,280,44,41,M,10,20,N,,,41,00
2021,41801273,135334456,1,2021-01-04,3,N,23C,39,36,M,10,10,R,,,36,00
2021,41314375,133808718,1,2021-01-04,3,N,13B,27,24,F,10,10,R,,,24,00
2021,41319079,133802543,1,2021-01-05,3,N,100,28,25,M,10,10,R,,,25,00
2021,41319068,133808739,1,2021-01-05,3,N,13B,53,50,M,20,20,R,,,50,00
2021,41319066,133808736,1,2021-01-05,2,N,13B,37,34,F,30,20,R,,,34,00
2021,41319072,133808755,1,2021-01-05,3,N,35A,29,26,M,10,10,R,,,26,00
2021,41319067,133808738,1,2021-01-06,3,C,13B,23,20,M,98,40,R,,,20,00
2021,41801262,135337474,1,2021-01-06,3,N,280,31,28,M,10,10,R,,,28,00
2021,41319071,133802519,1,2021-01-06,2,N,13B,40,37,M,10,20,R,,,37,00
2021,41319037,133802426,1,2021-01-06,2,N,13B,23,20,F,10,10,R,,,20,00
2021,41319058,133802495,1,2021-01-06,3,N,35A,50,47,M,10,10,R,,,47,00
2021,41314372,133808703,1,2021-01-06,3,N,35A,56,53,M,10,10,R,,,53,00
2021,41319052,133808694,1,2021-01-07,3,C,13B,33,30,M,20,20,R,,,30,00
2021,41319074,133802530,1,2021-01-06,3,N,270,29,26,M,10,20,R,,,26,00
