data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,48651005,,51
2022,48708575,,51
2022,48655426,,51
2022,50517916,,51
2022,50517917,,51
2022,50517918,,51
2022,50517919,,51
2022,50517920,,51
2022,50517921,,51
2022,50517922,,51
2022,50580421,,51
2022,50599893,,51
2022,50624336,,51
2022,50626570,,51
2022,50636171,,51
2022,50636172,,51
2022,50705368,,51
2022,50705370,,51
2022,50705371,,51
2022,50705372,,51
2022,50705373,,51
2022,50712466,,51
2022,50712467,,51
2022,50756258,,51
2022,50773123,,51
2022,49951865,,51
2022,49951866,,51
2022,51077190,,3
2022,51077292,,51
2022,51077340,,51
2022,51077408,,51
2022,51077416,,51
2022,51077491,,51
2022,51077652,,1
2022,51077829,,51
2022,51077854,,51
2022,51077878,,51
2022,51077894,,51
2022,51078151,,51
2022,51483271,,51
2022,51483272,,51
2022,51483273,,51
2022,51483274,,51
2022,51078305,,51
2022,48931736,,51
2022,48931737,,51
2022,48931739,,51
2022,48931740,,51
2022,48931741,,51
2022,48931742,,7
2022,48655463,,51
2022,48931744,,51
2022,48931745,,51
2022,48931748,,51
2022,48984426,,51
2022,48931750,,51
2022,48931751,,51
2022,48979057,,51
2022,48979059,,51
2022,48979060,,51
2022,48979061,,51
2022,48979062,,51
2022,48979063,,51
2022,48979064,,51
2022,48979065,,51
2022,48979066,,51
2022,48984427,,51
2022,48984428,,51
2022,49553904,,51
2022,49951867,,51
2022,48979067,,51
2022,48979068,,51
2022,48979069,,51
2022,48979070,,51
2022,48979071,,51
2022,48979072,,51
2022,48979073,,51
2022,48979074,,51
2022,48979075,,51
2022,50214829,,51
2022,50214830,,51
2022,50229631,,51
2022,50229632,,51
2022,50229633,,51
2022,50238039,,51
2022,50238040,,51
2022,50238041,,51
2022,50238042,,51
2022,50238043,,51
2022,50238044,,51
2022,50238045,,51
2022,50238046,,51
2022,50238047,,51
2022,50241727,,51
2022,50241728,,51
2022,50241729,,51
2022,50336977,,3
2022,50336978,,51
2022,50336979,,51
2022,50336980,,51
2022,50336981,,51
2022,50336982,,51
2022,50336983,,51
2022,50336984,,51
2022,50336985,,51
2022,50336986,,51
2022,50336987,,51
2022,50336988,,51
2022,50336989,,51
2022,50336990,,51
2022,50336991,,51
2022,50336992,,51
2022,50336993,,51
2022,50395914,,51
2022,50395915,,51
2022,50395916,,51
2022,50395917,,51
2022,50395918,,51
2022,50395919,,51
2022,50395920,,51
2022,50395921,,51
2022,50398726,,51
2022,50398727,,51
2022,50458594,,51
2022,50458595,,51
2022,50458596,,51
2022,50458597,,51
2022,50458598,,51
2022,50470780,,51
2022,50470781,,51
2022,48659902,,3
2022,48659912,,51
2022,48659913,,51
2022,48659914,,52
2022,49460412,,51
2022,48659918,,53
2022,48659927,,51
2022,48659931,,3
2022,48659939,,51
2022,48659942,,51
2022,48659944,,4
2022,48659954,,51
2022,48659958,,51
2022,48659961,,51
2022,48659963,,51
2022,48659964,,3
2022,48659965,,51
2022,48659971,,51
2022,48659972,,51
2022,48659973,,51
2022,48659974,,51
2022,48659977,,51
2022,48659979,,51
2022,48659980,,51
2022,48659981,,51
2022,48659984,,51
2022,48659986,,51
2022,48659988,,51
2022,48659989,,51
2022,48659991,,51
2022,48659995,,51
2022,48659998,,51
2022,48660001,,51
2022,48660004,,51
2022,48660007,,51
2022,48660013,,51
2022,48660014,,51
2022,48660015,,51
2022,48660022,,51
2022,48660026,,53
2022,48660027,,51
2022,48660028,,3
2022,48660029,,51
2022,48660030,,51
2022,48660031,,53
2022,48660032,,51
2022,48660033,,51
2022,48660034,,51
2022,48660035,,51
2022,48660036,,51
2022,48660037,,51
2022,48660038,,51
2022,49059019,,51
2022,48660041,,51
2022,48660042,,51
2022,48660045,,6
2022,49058973,,52
2022,48660063,,51
2022,48660064,,3
2022,48660071,,51
2022,49059021,,51
2022,49059022,,51
2022,48660077,,52
2022,48660084,,51
2022,48660086,,51
2022,49059023,,51
2022,48660088,,51
2022,48660089,,1
2022,48660090,,52
2022,49058978,,51
2022,49059032,,51
2022,49059057,,1
2022,49059250,,51
2022,49059251,,51
2022,49059170,,3
2022,49059171,,52
2022,49172133,,51
2022,49172134,,51
2022,49059176,,53
2022,49059256,,51
2022,49059180,,51
2022,49059258,,4
2022,49059270,,51
2022,49059271,,51
2022,49059252,,3
2022,49096398,,51
2022,49096399,,51
2022,49096400,,51
2022,49096401,,51
2022,49096402,,51
2022,49096403,,51
2022,49096404,,51
2022,49096405,,3
2022,49096406,,51
2022,49096407,,3
2022,49096408,,3
2022,49172135,,3
2022,49096410,,51
2022,49096411,,51
2022,49096412,,51
2022,49172136,,51
2022,49096413,,51
2022,49172140,,51
2022,49172144,,51
2022,49172146,,5
2022,50649526,,51
2022,50061502,,51
2022,49172149,,51
2022,49172152,,51
2022,50315804,,51
2022,49172156,,51
2022,49172158,,51
2022,49172159,,3
2022,49172160,,51
2022,49460413,,51
2022,49460414,,52
2022,49460415,,51
2022,50061505,,51
2022,50061507,,51
2022,50061508,,51
2022,50061510,,51
2022,50061511,,51
2022,50061512,,51
2022,50061513,,3
2022,50061514,,51
2022,50061515,,51
2022,50315805,,51
2022,50315806,,51
2022,50315807,,51
2022,50315808,,51
2022,50315809,,3
2022,50315810,,51
2022,50315811,,51
2022,50315812,,51
2022,50315813,,51
2022,50315814,,51
2022,50315815,,51
2022,50315816,,51
2022,50013749,,51
2022,50013750,,3
2022,50013751,,51
2022,50013752,,51
2022,50013753,,51
2022,49358767,,3
2022,50013754,,51
2022,50013755,,51
2022,50013756,,3
2022,49358768,,51
2022,48655958,,51
2022,48655959,,3
2022,48655961,,51
2022,48655962,,3
2022,48655963,,51
2022,48655964,,51
2022,48655965,,51
2022,48655966,,51
2022,48655967,,51
2022,48655968,,51
2022,48655969,,51
2022,48655970,,51
2022,48655971,,51
2022,48655972,,51
2022,48655973,,51
2022,48655974,,51
2022,48655975,,51
2022,48655976,,51
2022,48655977,,51
2022,48655979,,51
2022,48655980,,51
2022,48655981,,51
2022,49058862,,3
2022,48655983,,51
2022,48655984,,51
2022,48655985,,51
2022,48655986,,51
2022,48655987,,51
2022,48655988,,51
2022,48655989,,51
2022,48655990,,51
2022,48655991,,51
2022,48655992,,51
2022,48655993,,51
2022,48655994,,51
2022,48655995,,51
2022,48655996,,51
2022,48655998,,51
2022,48655999,,51
2022,48656000,,51
2022,48656001,,51
2022,48656002,,51
2022,48656003,,51
2022,48656004,,51
2022,48656005,,51
2022,48656006,,51
2022,48656007,,51
2022,48656008,,51
2022,48656009,,51
2022,48656011,,51
2022,48656012,,51
