data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2023,51561371,170441442,1,2023-03-27,3,N,280,38,35,M,10,10,R,,,35,
2023,50131791,165454273,1,2023-01-01,2,N,13B,33,30,M,10,10,R,,,30,
2023,52230404,172777744,1,2023-01-21,3,N,35A,24,21,M,10,20,N,,,21,
2023,52230405,172777745,1,2023-01-26,3,N,220,54,51,F,98,10,N,,,51,
2023,52230406,172777747,1,2023-02-03,1,N,35B,26,23,M,98,10,N,,,23,
2023,52230407,172777748,1,2023-02-03,3,N,520,21,18,M,10,10,N,,,18,
2023,52230408,172777749,1,2023-02-07,2,N,35B,21,18,F,10,10,R,,,18,
2023,52230409,172777750,1,2023-02-11,3,N,35A,31,28,M,10,10,N,,,28,
2023,52230410,172777752,1,2023-02-17,3,N,13A,34,31,M,98,10,N,,,31,
2023,52230411,172777753,1,2023-02-18,3,N,35B,29,26,M,98,10,N,,,26,
2023,52230412,172777753,2,2023-02-19,3,N,35B,26,23,M,10,10,N,,,23,
2023,52230413,172777754,1,2023-02-18,3,N,520,43,40,M,10,20,N,,,40,
2023,52230414,172777755,1,2023-02-25,1,N,35B,26,23,M,10,10,N,,,23,
2023,52230415,172777757,1,2023-03-01,2,N,13B,16,13,M,20,20,R,R,,13,
2023,52230416,172777758,1,2023-03-01,2,N,13B,17,14,M,10,10,N,R,,14,
2023,52230417,172777759,1,2023-03-06,3,N,13B,26,23,M,10,10,N,,,23,
2023,52230418,172777760,1,2023-03-12,2,N,23H,17,14,F,10,10,N,R,,14,
2023,52230419,172777762,1,2023-03-15,3,N,35A,22,19,M,10,10,N,,,19,
2023,52230420,172777764,1,2023-03-22,3,N,520,42,39,M,98,10,N,,,39,
2023,52230421,172777766,1,2023-03-29,3,N,09B,29,26,M,10,10,N,,,26,
2023,52230422,172777767,1,2023-03-30,2,N,35B,26,23,M,10,10,N,,,23,
2023,52231545,172781586,1,2023-04-09,3,N,13B,30,27,M,10,10,N,,,27,
2023,52231546,172781588,1,2023-04-12,2,N,290,20,17,M,10,10,N,R,,17,
2023,52231547,172781589,1,2023-04-13,2,N,13B,17,14,M,10,10,R,R,,14,
2023,52231548,172781591,1,2023-04-15,1,N,250,35,32,F,10,10,N,,,32,
2023,52231549,172781595,1,2023-04-27,3,N,13A,39,36,M,98,10,N,,,36,
2023,52231550,172781598,1,2023-05-04,2,N,13B,16,13,F,10,10,N,R,,13,
2023,52231551,172781601,1,2023-05-08,3,N,35A,72,69,M,10,10,N,,,69,
2023,52231552,172781602,1,2023-05-15,3,N,220,25,22,M,10,10,N,,,22,
2023,52231553,172781604,1,2023-05-17,1,N,220,26,23,M,10,10,N,,,23,
2023,55768131,183293546,1,2023-06-05,1,N,35A,40,37,M,10,10,N,,,37,
2023,55768132,183293551,1,2023-06-17,3,N,35A,43,40,M,10,20,N,,,40,
2023,55768133,183293557,1,2023-06-20,3,N,13B,35,32,M,98,10,N,,,32,
2023,55768136,183293564,1,2023-06-25,3,N,200,26,23,M,10,10,N,,,23,
2023,55768137,183293565,1,2023-06-23,3,N,220,26,23,M,10,10,N,,,23,
