data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2023,51561371,,51
2023,50131791,,51
2023,50131793,,51
2023,50131794,,51
2023,50640788,,51
2023,50131795,,51
2023,50131796,,51
2023,50131797,,51
2023,50131798,,51
2023,50131799,,51
2023,50131800,,51
2023,50131802,,51
2023,50131804,,3
2023,50131805,,51
2023,50131806,,51
2023,50131807,,51
2023,50131809,,51
2023,50131811,,51
2023,50131812,,51
2023,50131813,,51
2023,50131814,,51
2023,50131815,,51
2023,50131816,,51
2023,50131817,,51
2023,50131818,,51
2023,50131819,,51
2023,50131821,,3
2023,50131822,,51
2023,50131823,,51
2023,50131824,,51
2023,50131825,,51
2023,50131826,,9
2023,50131829,,4
2023,50131830,,51
2023,50131831,,51
2023,51192306,,51
2023,51192307,,51
2023,50131832,,51
2023,50131835,,51
2023,50131836,,3
2023,50131837,,51
2023,50131838,,51
2023,50131839,,51
2023,50131840,,51
2023,50131841,,51
2023,50131842,,51
2023,50131844,,51
2023,50131845,,51
2023,50131846,,51
2023,50131847,,51
2023,50131848,,51
2023,50131849,,51
2023,50131850,,51
2023,50131851,,51
2023,50131852,,51
2023,50131853,,51
2023,50131854,,52
2023,50131855,,51
2023,50131856,,51
2023,50131857,,51
2023,50131858,,51
2023,50131859,,51
2023,50640789,,51
2023,50131861,,51
2023,50131862,,51
2023,50131863,,51
2023,50131864,,51
2023,50131865,,3
2023,50131866,,51
2023,50131867,,51
2023,50131868,,51
2023,51192310,,3
2023,51192311,,5
2023,51192312,,3
2023,50131869,,51
2023,50131871,,51
2023,51192314,,51
2023,50131873,,51
2023,50131874,,3
2023,50131875,,53
2023,50131876,,51
2023,50131877,,51
2023,50131878,,51
2023,50131879,,51
2023,50131880,,51
2023,50131881,,52
2023,50131881,,53
2023,50640790,,51
2023,50131882,,51
2023,50131883,,51
2023,50131884,,51
2023,50131885,,51
2023,50131886,,3
2023,50131887,,51
2023,50131888,,3
2023,50131889,,51
2023,50131890,,51
2023,50131891,,51
2023,50131892,,51
2023,50131894,,51
2023,50131895,,51
2023,50131896,,3
2023,50640791,,51
2023,50131897,,51
2023,50131898,,51
2023,50131899,,51
2023,50131900,,51
2023,50640792,,51
2023,50131901,,51
2023,50131903,,3
2023,50131904,,52
2023,50131905,,51
2023,50131906,,51
2023,51192316,,1
2023,51192316,,52
2023,50131907,,51
2023,50131908,,51
2023,50131909,,51
2023,50131910,,51
2023,50131911,,51
2023,50640793,,51
2023,50640794,,51
2023,50131912,,51
2023,50131913,,51
2023,50640795,,51
2023,50640796,,51
2023,50131914,,51
2023,50131915,,51
2023,50131916,,51
2023,50131918,,51
2023,50131919,,51
2023,50131920,,51
2023,50131921,,51
2023,50131922,,51
2023,50131924,,51
2023,50131925,,51
2023,50640797,,51
2023,50640798,,51
2023,50640799,,51
2023,50131926,,51
2023,50131927,,53
2023,50640800,,51
2023,55730358,,51
2023,55730359,,51
2023,55730360,,51
2023,55730361,,51
2023,50640801,,1
2023,50640802,,1
2023,50640803,,51
2023,50640804,,51
2023,50640805,,51
2023,50131928,,51
2023,50640806,,51
2023,50131929,,51
2023,52364140,,51
2023,52364141,,51
