CBSA_Code,CBSA,#_Days_with_AQI,Good,Moderate,Unhealthy_for_Sensitive_Groups,Unhealthy,Very_Unhealthy,Hazardous,AQI_Maximum,AQI_90th_Percentile,AQI_Median,#_Days_CO,#_Days_NO2,#_Days_O3,#_Days_PM2.5,#_Days_PM10,Year,AQI,PM2.5,PM10,NO2,CO,O3,Date,Month
45340,"Taos, NM",359,323,36,,,,,86,51.0,19.0,,,,359,,2022,0.0,0.0,0.0,0.0,0.0,0.0,,0
10740,"Albuquerque, NM",275,83,163,25,1,1,2,443,101.0,61.0,1,2,193,45,34,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
16100,"Carlsbad-Artesia, NM",244,108,106,27,3,,,172,101.0,54.0,,,242,2,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
19700,"Deming, NM",182,170,10,1,1,,,153,39.0,15.0,,,,,182,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
21580,"Espa¤ola, NM",179,113,63,3,,,,108,80.0,48.0,,,179,,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
22140,"Farmington, NM",272,165,99,8,,,,108,87.0,47.0,,,271,,1,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
26020,"Hobbs, NM",180,126,54,,,,,93,70.5,44.0,,,143,37,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
29740,"Las Cruces, NM",182,62,104,8,2,2,4,692,97.0,58.0,,1,91,58,32,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
31060,"Los Alamos, NM",20,20,,,,,,16,13.5,9.0,,,,20,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
40740,"Roswell, NM",20,16,4,,,,,62,55.0,20.5,,,,20,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
40760,"Ruidoso, NM",20,20,,,,,,26,16.5,6.5,,,,20,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
42140,"Santa Fe, NM",180,126,54,,,,,93,74.0,45.0,,,177,3,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
45340,"Taos, NM",181,181,,,,,,46,31.0,14.0,,,,181,,2024,0.0,0.0,0.0,0.0,0.0,0.0,,0
